Id,Title,Category,Diagram,Interaction,Priority,State,Description,Justification,Last Modified
352,Smartphone (App) Process Memory Tampered,Tampering,App Turismo Inteligente,App Request,High,Not Applicable,"If Smartphone (App) is given access to memory, such as shared memory or pointers, or is given the ability to control what API executes (for example, passing back a function pointer.), then Smartphone (App) can tamper with API. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.","NA-2. Not applicable: the threat assumes shared memory or direct execution control, while the DFD models separate components without shared memory.",05/05/2026 22:57:23
405,Replay Attacks,Tampering,App Turismo Inteligente,App Request,High,Mitigated,Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,"Analytical mitigation specified by CTL-STR-02 (CT-STR-02). Proposed control: message integrity, freshness, and anti-replay protection for critical flows. Expected evidence: nonce/timestamp, correlation IDs, anti-replay tests, and rejection logs.",05/05/2026 23:05:20
436,External Entity SEFD Potentially Denies Receiving Data,Repudiation,App Turismo Inteligente,SEFD Request,High,Mitigated,"SEFD claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.","Analytical mitigation specified by CTL-STR-07 (CT-STR-07). Proposed control: record delivery to the SEFD with a correlation ID and confirm receipt when applicable. Expected evidence: correlated request/response records, verifiable send record, receipt confirmation, authenticated endpoint, validated schema, and negative/fuzz tests.",05/05/2026 23:09:24
435,Spoofing of the SEFD External Destination Entity,Spoofing,App Turismo Inteligente,SEFD Request,High,Mitigated,SEFD may be spoofed by an attacker and this may lead to data being sent to the attacker's target instead of SEFD. Consider using a standard authentication mechanism to identify the external entity.,"Analytical mitigation specified by CTL-STR-07 (CT-STR-07). Proposed control: authenticate the SEFD service, validate the origin, integrity, structure, content, and bounds of responses, and isolate the processing of external content to prevent tampering with the execution flow or recommendation logic. Expected evidence: endpoint authentication with mTLS or equivalent, certificate and origin validation, schema/type/size/bounds validation, hardened parser and safe deserialization, isolation of external-content processing, negative tests and fuzzing, and correlated logs with anomaly monitoring.",05/05/2026 23:09:11
415,Authorization Bypass,Information Disclosure,App Turismo Inteligente,Audit Log,High,Mitigated,"Can you access Logs/Audit and bypass the permissions for the object? For example by editing the files directly with a hex editor, or reaching it via filesharing? Ensure that your program is the only one that can access the data, and that all other subjects have to use your interface.","Analytical mitigation specified by CTL-STR-05.B (CT-STR-05.B). Proposed control: confidentiality and access protection for audit logs. Expected evidence: encryption, RBAC, access reviews, and unauthorized-access tests.",05/05/2026 23:06:40
414,Authorization Bypass,Information Disclosure,App Turismo Inteligente,Write,High,Mitigated,"Can you access Database and bypass the permissions for the object? For example by editing the files directly with a hex editor, or reaching it via filesharing? Ensure that your program is the only one that can access the data, and that all other subjects have to use your interface.","Analytical mitigation specified by CTL-STR-06 (CT-STR-06). Proposed control: protection of personal-data persistence and operational states. Expected evidence: encryption, granular access control, backups, and authorization/recovery tests.",05/05/2026 23:06:33
413,Weak Authentication Scheme,Information Disclosure,App Turismo Inteligente,Internal Response,High,Mitigated,"Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.","Analytical mitigation specified by CTL-STR-01 (CT-STR-01), same threat family as representative ID 404. Proposed control: robust authentication for data subjects, operators, and services before sensitive flows. Expected evidence: authentication policy, operational MFA, authentication tests and logs.",05/05/2026 23:06:25
412,Collision Attacks,Tampering,App Turismo Inteligente,Internal Request,High,Mitigated,"Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.","Analytical mitigation specified by CTL-STR-02 (CT-STR-02), same threat family as representative ID 405. Proposed control: message integrity, freshness, and anti-replay protection for critical flows. Expected evidence: nonce/timestamp, correlation IDs, anti-replay tests, and rejection logs.",05/05/2026 23:06:17
411,Replay Attacks,Tampering,App Turismo Inteligente,Internal Request,High,Mitigated,Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,"Analytical mitigation specified by CTL-STR-02 (CT-STR-02), same threat family as representative ID 405. Proposed control: message integrity, freshness, and anti-replay protection for critical flows. Expected evidence: nonce/timestamp, correlation IDs, anti-replay tests, and rejection logs.",05/05/2026 23:12:18
410,Collision Attacks,Tampering,App Turismo Inteligente,App Response,High,Mitigated,"Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.","Analytical mitigation specified by CTL-STR-02 (CT-STR-02), same threat family as representative ID 405. Proposed control: message integrity, freshness, and anti-replay protection for critical flows. Expected evidence: nonce/timestamp, correlation IDs, anti-replay tests, and rejection logs.",05/05/2026 23:06:03
408,Weak Authentication Scheme,Information Disclosure,App Turismo Inteligente,Internal Request,High,Mitigated,"Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.","Analytical mitigation specified by CTL-STR-01 (CT-STR-01), same threat family as representative ID 404. Proposed control: robust authentication for data subjects, operators, and services before sensitive flows. Expected evidence: authentication policy, operational MFA, authentication tests and logs.",05/05/2026 23:05:46
407,Weak Authentication Scheme,Information Disclosure,App Turismo Inteligente,App Response,High,Mitigated,"Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.","Analytical mitigation specified by CTL-STR-01 (CT-STR-01), same threat family as representative ID 404. Proposed control: robust authentication for data subjects, operators, and services before sensitive flows. Expected evidence: authentication policy, operational MFA, authentication tests and logs.",05/05/2026 23:05:36
406,Collision Attacks,Tampering,App Turismo Inteligente,App Request,High,Mitigated,"Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.","Analytical mitigation specified by CTL-STR-02 (CT-STR-02). Proposed control: message integrity, freshness, and anti-replay protection for critical flows. Expected evidence: nonce/timestamp, correlation IDs, anti-replay tests, and rejection logs.",05/05/2026 23:05:28
404,Weak Authentication Scheme,Information Disclosure,App Turismo Inteligente,App Request,High,Mitigated,"Custom authentication schemes are susceptible to common weaknesses such as weak credential change management, credential equivalence, easily guessable credentials, null credentials, downgrade authentication or a weak credential change management system. Consider the impact and potential mitigations for your custom authentication scheme.","Analytical mitigation specified by CTL-STR-01 (CT-STR-01). Proposed control: robust authentication for data subjects, operators, and services before sensitive flows. Expected evidence: authentication policy, operational MFA, authentication tests and logs.",05/05/2026 23:05:12
345,The Logs/Audit Data Store Could Be Corrupted,Tampering,App Turismo Inteligente,Audit Log,High,Mitigated,Data flowing across Audit Log may be tampered with by an attacker. This may lead to corruption of Logs/Audit. Ensure the integrity of the data flow to the data store.,"Analytical mitigation specified by CTL-STR-05.A (CT-STR-05.A). Proposed control: authenticated, integrity-protected, tamper-resistant audit trails. Expected evidence: signed logs, append-only trails, and integrity checks.",05/05/2026 22:56:10
417,Replay Attacks,Tampering,App Turismo Inteligente,Internal Response,High,Mitigated,Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.,"Analytical mitigation specified by CTL-STR-02 (CT-STR-02), same threat family as representative ID 405. Proposed control: message integrity, freshness, and anti-replay protection for critical flows. Expected evidence: nonce/timestamp, correlation IDs, anti-replay tests, and rejection logs.",05/05/2026 23:06:57
426,Potential Weak Protections for Audit Data,Repudiation,App Turismo Inteligente,Audit Log,High,Mitigated,"Consider what happens when the audit mechanism comes under attack, including attempts to destroy the logs, or attack log analysis programs. Ensure access to the log is through a reference monitor, which controls read and write separately. Document what filters, if any, readers can rely on, or writers should expect","Analytical mitigation specified by CTL-STR-05.A (CT-STR-05.A). Proposed control: authenticated, integrity-protected, tamper-resistant audit trails. Expected evidence: signed logs, append-only trails, and integrity checks.",05/05/2026 23:08:14
427,JavaScript Object Notation Processing,Tampering,App Turismo Inteligente,App Request,High,Mitigated,"If a dataflow contains JSON, JSON processing and hijacking threats may be exploited.","Analytical mitigation specified by CTL-STR-03 (CT-STR-03). Proposed control: strict validation of JSON payloads and API contracts. Expected evidence: schemas, negative API tests, and content-type validation.",05/05/2026 23:08:22
428,JavaScript Object Notation Processing,Tampering,App Turismo Inteligente,App Response,High,Mitigated,"If a dataflow contains JSON, JSON processing and hijacking threats may be exploited.","Analytical mitigation specified by CTL-STR-03 (CT-STR-03), same threat family as representative ID 427. Proposed control: strict validation of JSON payloads and API contracts. Expected evidence: schemas, negative API tests, and content-type validation.",05/05/2026 23:08:31
429,JavaScript Object Notation Processing,Tampering,App Turismo Inteligente,Internal Request,High,Mitigated,"If a dataflow contains JSON, JSON processing and hijacking threats may be exploited.","Analytical mitigation specified by CTL-STR-03 (CT-STR-03), same threat family as representative ID 427. Proposed control: strict validation of JSON payloads and API contracts. Expected evidence: schemas, negative API tests, and content-type validation.",05/05/2026 23:08:39
430,JavaScript Object Notation Processing,Tampering,App Turismo Inteligente,Internal Response,High,Mitigated,"If a dataflow contains JSON, JSON processing and hijacking threats may be exploited.","Analytical mitigation specified by CTL-STR-03 (CT-STR-03), same threat family as representative ID 427. Proposed control: strict validation of JSON payloads and API contracts. Expected evidence: schemas, negative API tests, and content-type validation.",05/05/2026 23:08:47
431,JavaScript Object Notation Processing,Tampering,App Turismo Inteligente,Admin Request,High,Mitigated,"If a dataflow contains JSON, JSON processing and hijacking threats may be exploited.","Analytical mitigation specified by CTL-STR-03 (CT-STR-03), same threat family as representative ID 427. Proposed control: strict validation of JSON payloads and API contracts. Expected evidence: schemas, negative API tests, and content-type validation.",05/05/2026 23:08:56
432,JavaScript Object Notation Processing,Tampering,App Turismo Inteligente,Admin Response,High,Mitigated,"If a dataflow contains JSON, JSON processing and hijacking threats may be exploited.","Analytical mitigation specified by CTL-STR-03 (CT-STR-03), same threat family as representative ID 427. Proposed control: strict validation of JSON payloads and API contracts. Expected evidence: schemas, negative API tests, and content-type validation.",05/05/2026 23:09:03
437,Data Flow SEFD Request Is Potentially Interrupted,Denial Of Service,App Turismo Inteligente,SEFD Request,High,Mitigated,An external agent interrupts data flowing across a trust boundary in either direction.,"Analytical mitigation specified by CTL-STR-04.A, CTL-STR-04.B (CT-STR-04), same threat family as representative ID 23. Proposed control: resource-consumption limits and controlled degradation of critical flows. Expected evidence: rate limits, quotas, timeouts, load tests, fallback, and recovery tests.",05/05/2026 23:09:32
438,JavaScript Object Notation Processing,Tampering,App Turismo Inteligente,SEFD Response,High,Mitigated,"If a dataflow contains JSON, JSON processing and hijacking threats may be exploited.","Analytical mitigation specified by CTL-STR-07 (CT-STR-07). Proposed control: authenticate the SEFD service, validate the origin, integrity, structure, content, and bounds of responses, and isolate the processing of external content to prevent tampering with the execution flow or recommendation logic. Expected evidence: endpoint authentication with mTLS or equivalent, certificate and origin validation, schema/type/size/bounds validation, hardened parser and safe deserialization, isolation of external-content processing, negative tests and fuzzing, and correlated logs with anomaly monitoring.",05/05/2026 23:09:40
439,Potential Data Repudiation by API,Repudiation,App Turismo Inteligente,SEFD Response,High,Mitigated,"API claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.","Analytical mitigation specified by CTL-STR-10 (CT-STR-10), same threat family as representative ID 353. Proposed control: non-repudiation and traceability of relevant system actions. Expected evidence: correlated logs, transaction IDs/signatures, and auditable trails.",05/05/2026 23:09:47
440,Potential Process Crash or Stop for API,Denial Of Service,App Turismo Inteligente,SEFD Response,High,Mitigated,"API crashes, halts, stops or runs slowly; in all cases violating an availability metric.","Analytical mitigation specified by CTL-STR-04.A, CTL-STR-04.B (CT-STR-04), same threat family as representative ID 23. Proposed control: resource-consumption limits and controlled degradation of critical flows. Expected evidence: rate limits, quotas, timeouts, load tests, fallback, and recovery tests.",05/05/2026 23:09:57
441,Data Flow SEFD Response Is Potentially Interrupted,Denial Of Service,App Turismo Inteligente,SEFD Response,High,Mitigated,An external agent interrupts data flowing across a trust boundary in either direction.,"Analytical mitigation specified by CTL-STR-04.A, CTL-STR-04.B (CT-STR-04), same threat family as representative ID 23. Proposed control: resource-consumption limits and controlled degradation of critical flows. Expected evidence: rate limits, quotas, timeouts, load tests, fallback, and recovery tests.",05/05/2026 23:10:04
442,Elevation Using Impersonation,Elevation Of Privilege,App Turismo Inteligente,SEFD Response,High,Mitigated,API may be able to impersonate the context of SEFD in order to gain additional privilege.,"Analytical mitigation specified by CTL-STR-07 (CT-STR-07). Proposed control: authenticate the SEFD service, validate the origin, integrity, structure, content, and bounds of responses, and isolate the processing of external content to prevent tampering with the execution flow or recommendation logic. Expected evidence: endpoint authentication with mTLS or equivalent, certificate and origin validation, schema/type/size/bounds validation, hardened parser and safe deserialization, isolation of external-content processing, negative tests and fuzzing, and correlated logs with anomaly monitoring.",05/05/2026 23:10:11
443,API May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,App Turismo Inteligente,SEFD Response,High,Mitigated,SEFD may be able to remotely execute code for API.,"Analytical mitigation specified by CTL-STR-07 (CT-STR-07). Proposed control: authenticate the SEFD service, validate the origin, integrity, structure, content, and bounds of responses, and isolate the processing of external content to prevent tampering with the execution flow or recommendation logic. Expected evidence: endpoint authentication with mTLS or equivalent, certificate and origin validation, schema/type/size/bounds validation, hardened parser and safe deserialization, isolation of external-content processing, negative tests and fuzzing, and correlated logs with anomaly monitoring.",05/05/2026 23:10:19
444,Elevation by Changing the Execution Flow in API,Elevation Of Privilege,App Turismo Inteligente,SEFD Response,High,Mitigated,An attacker may pass data into API in order to change the flow of program execution within API to the attacker's choosing.,"Analytical mitigation specified by CTL-STR-07 (CT-STR-07). Proposed control: authenticate the SEFD service, validate the origin, integrity, structure, content, and bounds of responses, and isolate the processing of external content to prevent tampering with the execution flow or recommendation logic. Expected evidence: endpoint authentication with mTLS or equivalent, certificate and origin validation, schema/type/size/bounds validation, hardened parser and safe deserialization, isolation of external-content processing, negative tests and fuzzing, and correlated logs with anomaly monitoring.",05/05/2026 23:10:27
445,Spoofing the Tourist External Entity,Spoofing,App Turismo Inteligente,Request,High,Mitigated,Tourist may be spoofed by an attacker and this may lead to unauthorized access to Smartphone (App). Consider using a standard authentication mechanism to identify the external entity.,"Analytical mitigation specified by CTL-STR-09 (CT-STR-09). Proposed control: sensitive actions must be performed by an authenticated and authorized data subject or operator, with explicit confirmation and risk-based reauthentication. Expected evidence: strong authentication, MFA for operational access, reauthentication and confirmation records, session controls and audit trails, request-forgery protection, and secure session binding when justified by the risk analysis.",05/05/2026 23:10:34
446,Elevation Using Impersonation,Elevation Of Privilege,App Turismo Inteligente,Request,High,Mitigated,Smartphone (App) may be able to impersonate the context of Tourist in order to gain additional privilege.,"Analytical mitigation specified by CTL-STR-09 (CT-STR-09), same threat family as representative ID 445. Proposed control: sensitive actions must be performed by an authenticated and authorized data subject or operator, with explicit confirmation and risk-based reauthentication. Expected evidence: strong authentication, MFA for operational access, reauthentication and confirmation records, session controls and audit trails, request-forgery protection, and secure session binding when justified by the risk analysis.",05/05/2026 23:11:08
